metric,type,top,ec,value
acc,forward,1,47,1.0
acc,forward,1,0,0.7956600361663653
acc,forward,1,31,0.8888888888888888
acc,forward,1,3,0.8529411764705882
acc,forward,1,6,1.0
acc,forward,1,1,0.7466666666666667
acc,forward,1,27,0.75
acc,forward,1,2,0.7567567567567568
acc,forward,1,9,0.875
acc,forward,1,17,0.9166666666666666
acc,forward,1,20,0.7692307692307693
acc,forward,1,39,0.8
acc,forward,1,43,0.75
acc,forward,1,23,0.7272727272727273
acc,forward,1,8,0.85
acc,forward,1,45,1.0
acc,forward,1,21,1.0
acc,forward,1,4,0.8157894736842105
acc,forward,1,52,1.0
acc,forward,1,51,1.0
acc,forward,1,46,0.8
acc,forward,1,5,0.7857142857142857
acc,forward,1,36,0.8181818181818182
acc,forward,1,33,0.8571428571428571
acc,forward,1,16,0.9090909090909091
acc,forward,1,26,1.0
acc,forward,1,35,0.3333333333333333
acc,forward,1,13,0.6
acc,forward,1,7,0.9375
acc,forward,1,41,0.75
acc,forward,1,38,1.0
acc,forward,1,11,0.9166666666666666
acc,forward,1,24,0.75
acc,forward,1,12,0.9
acc,forward,1,53,1.0
acc,forward,1,14,0.75
acc,forward,1,44,0.6666666666666666
acc,forward,1,40,0.75
acc,forward,1,42,0.75
acc,forward,1,22,0.6666666666666666
acc,forward,1,15,0.5555555555555556
acc,forward,1,30,0.8571428571428571
acc,forward,1,25,0.6
acc,forward,1,29,0.875
acc,forward,1,37,0.8
acc,forward,1,28,0.6666666666666666
acc,forward,1,18,0.8571428571428571
acc,forward,1,10,0.8
acc,forward,1,32,1.0
acc,forward,1,34,1.0
acc,forward,1,19,1.0
acc,forward,1,48,0.0
acc,forward,1,overall,0.8043282236248873
acc,backward,1,47,0.14285714285714285
acc,backward,1,0,0.0
acc,backward,1,31,0.0
acc,backward,1,3,0.0
acc,backward,1,6,0.0
acc,backward,1,1,0.0
acc,backward,1,27,0.0
acc,backward,1,2,0.0
acc,backward,1,9,0.0
acc,backward,1,17,0.0
acc,backward,1,20,0.0
acc,backward,1,39,0.0
acc,backward,1,43,0.0
acc,backward,1,23,0.0
acc,backward,1,8,0.0
acc,backward,1,45,0.0
acc,backward,1,21,0.0
acc,backward,1,4,0.0
acc,backward,1,52,0.0
acc,backward,1,51,0.0
acc,backward,1,46,0.0
acc,backward,1,5,0.0
acc,backward,1,36,0.0
acc,backward,1,33,0.0
acc,backward,1,16,0.0
acc,backward,1,26,0.0
acc,backward,1,35,0.0
acc,backward,1,13,0.0
acc,backward,1,7,0.0
acc,backward,1,41,0.0
acc,backward,1,38,0.0
acc,backward,1,11,0.0
acc,backward,1,24,0.0
acc,backward,1,12,0.0
acc,backward,1,53,0.0
acc,backward,1,14,0.0
acc,backward,1,44,0.0
acc,backward,1,40,0.0
acc,backward,1,42,0.0
acc,backward,1,22,0.0
acc,backward,1,15,0.0
acc,backward,1,30,0.0
acc,backward,1,25,0.0
acc,backward,1,29,0.0
acc,backward,1,37,0.0
acc,backward,1,28,0.0
acc,backward,1,18,0.0
acc,backward,1,10,0.0
acc,backward,1,32,0.0
acc,backward,1,34,0.0
acc,backward,1,19,0.0
acc,backward,1,48,0.0
acc,backward,1,overall,0.0009017132551848512
acc,ec,1,47,0.14285714285714285
acc,ec,1,0,0.003616636528028933
acc,ec,1,31,0.0
acc,ec,1,3,0.0
acc,ec,1,6,0.0
acc,ec,1,1,0.0
acc,ec,1,27,0.0
acc,ec,1,2,0.0
acc,ec,1,9,0.0
acc,ec,1,17,0.0
acc,ec,1,20,0.0
acc,ec,1,39,0.0
acc,ec,1,43,0.0
acc,ec,1,23,0.0
acc,ec,1,8,0.0
acc,ec,1,45,0.0
acc,ec,1,21,0.0
acc,ec,1,4,0.0
acc,ec,1,52,0.0
acc,ec,1,51,0.0
acc,ec,1,46,0.0
acc,ec,1,5,0.0
acc,ec,1,36,0.0
acc,ec,1,33,0.0
acc,ec,1,16,0.0
acc,ec,1,26,0.0
acc,ec,1,35,0.0
acc,ec,1,13,0.0
acc,ec,1,7,0.0
acc,ec,1,41,0.0
acc,ec,1,38,0.0
acc,ec,1,11,0.0
acc,ec,1,24,0.0
acc,ec,1,12,0.0
acc,ec,1,53,0.0
acc,ec,1,14,0.0
acc,ec,1,44,0.0
acc,ec,1,40,0.0
acc,ec,1,42,0.0
acc,ec,1,22,0.0
acc,ec,1,15,0.0
acc,ec,1,30,0.0
acc,ec,1,25,0.0
acc,ec,1,29,0.0
acc,ec,1,37,0.0
acc,ec,1,28,0.0
acc,ec,1,18,0.0
acc,ec,1,10,0.0
acc,ec,1,32,0.0
acc,ec,1,34,0.0
acc,ec,1,19,0.0
acc,ec,1,48,0.0
acc,ec,1,overall,0.002705139765554554
