metric,type,top,ec,value
acc,forward,1,0,0.7822878228782287
acc,forward,1,3,0.7021276595744681
acc,forward,1,4,0.68
acc,forward,1,12,0.9285714285714286
acc,forward,1,2,0.7346938775510204
acc,forward,1,52,1.0
acc,forward,1,23,0.9
acc,forward,1,51,1.0
acc,forward,1,20,1.0
acc,forward,1,16,0.8181818181818182
acc,forward,1,1,0.896551724137931
acc,forward,1,33,0.7777777777777778
acc,forward,1,48,0.5
acc,forward,1,11,0.7777777777777778
acc,forward,1,18,0.8
acc,forward,1,9,0.7
acc,forward,1,13,0.3333333333333333
acc,forward,1,32,1.0
acc,forward,1,17,0.7272727272727273
acc,forward,1,30,0.8571428571428571
acc,forward,1,25,0.875
acc,forward,1,34,0.8571428571428571
acc,forward,1,7,0.7222222222222222
acc,forward,1,6,0.8888888888888888
acc,forward,1,37,0.8333333333333334
acc,forward,1,35,0.125
acc,forward,1,36,1.0
acc,forward,1,45,0.6
acc,forward,1,24,0.8333333333333334
acc,forward,1,22,0.875
acc,forward,1,38,0.8333333333333334
acc,forward,1,47,1.0
acc,forward,1,5,0.8571428571428571
acc,forward,1,8,0.84
acc,forward,1,15,0.8333333333333334
acc,forward,1,46,0.5
acc,forward,1,14,0.7272727272727273
acc,forward,1,26,1.0
acc,forward,1,19,0.8333333333333334
acc,forward,1,31,1.0
acc,forward,1,10,0.8947368421052632
acc,forward,1,53,1.0
acc,forward,1,49,1.0
acc,forward,1,40,0.75
acc,forward,1,43,1.0
acc,forward,1,42,0.5
acc,forward,1,21,0.8571428571428571
acc,forward,1,29,0.8
acc,forward,1,50,1.0
acc,forward,1,39,1.0
acc,forward,1,41,0.3333333333333333
acc,forward,1,28,0.8
acc,forward,1,44,0.5
acc,forward,1,27,0.8571428571428571
acc,forward,1,overall,0.7899008115419297
acc,backward,1,0,0.0018450184501845018
acc,backward,1,3,0.0
acc,backward,1,4,0.0
acc,backward,1,12,0.0
acc,backward,1,2,0.0
acc,backward,1,52,0.0
acc,backward,1,23,0.0
acc,backward,1,51,0.0
acc,backward,1,20,0.0
acc,backward,1,16,0.0
acc,backward,1,1,0.0
acc,backward,1,33,0.0
acc,backward,1,48,0.0
acc,backward,1,11,0.0
acc,backward,1,18,0.0
acc,backward,1,9,0.0
acc,backward,1,13,0.0
acc,backward,1,32,0.0
acc,backward,1,17,0.0
acc,backward,1,30,0.0
acc,backward,1,25,0.0
acc,backward,1,34,0.0
acc,backward,1,7,0.0
acc,backward,1,6,0.0
acc,backward,1,37,0.0
acc,backward,1,35,0.0
acc,backward,1,36,0.0
acc,backward,1,45,0.0
acc,backward,1,24,0.0
acc,backward,1,22,0.0
acc,backward,1,38,0.0
acc,backward,1,47,0.0
acc,backward,1,5,0.0
acc,backward,1,8,0.0
acc,backward,1,15,0.0
acc,backward,1,46,0.0
acc,backward,1,14,0.0
acc,backward,1,26,0.0
acc,backward,1,19,0.0
acc,backward,1,31,0.0
acc,backward,1,10,0.0
acc,backward,1,53,0.0
acc,backward,1,49,0.0
acc,backward,1,40,0.0
acc,backward,1,43,0.0
acc,backward,1,42,0.0
acc,backward,1,21,0.0
acc,backward,1,29,0.0
acc,backward,1,50,0.0
acc,backward,1,39,0.0
acc,backward,1,41,0.0
acc,backward,1,28,0.0
acc,backward,1,44,0.0
acc,backward,1,27,0.0
acc,backward,1,overall,0.0009017132551848512
acc,ec,1,0,0.0036900369003690036
acc,ec,1,3,0.0
acc,ec,1,4,0.0
acc,ec,1,12,0.0
acc,ec,1,2,0.0
acc,ec,1,52,0.0
acc,ec,1,23,0.0
acc,ec,1,51,0.0
acc,ec,1,20,0.0
acc,ec,1,16,0.0
acc,ec,1,1,0.0
acc,ec,1,33,0.0
acc,ec,1,48,0.0
acc,ec,1,11,0.0
acc,ec,1,18,0.0
acc,ec,1,9,0.0
acc,ec,1,13,0.0
acc,ec,1,32,0.0
acc,ec,1,17,0.0
acc,ec,1,30,0.0
acc,ec,1,25,0.0
acc,ec,1,34,0.0
acc,ec,1,7,0.0
acc,ec,1,6,0.0
acc,ec,1,37,0.0
acc,ec,1,35,0.0
acc,ec,1,36,0.0
acc,ec,1,45,0.0
acc,ec,1,24,0.0
acc,ec,1,22,0.0
acc,ec,1,38,0.0
acc,ec,1,47,0.0
acc,ec,1,5,0.0
acc,ec,1,8,0.0
acc,ec,1,15,0.0
acc,ec,1,46,0.0
acc,ec,1,14,0.0
acc,ec,1,26,0.0
acc,ec,1,19,0.0
acc,ec,1,31,0.0
acc,ec,1,10,0.0
acc,ec,1,53,0.0
acc,ec,1,49,0.0
acc,ec,1,40,0.0
acc,ec,1,43,0.0
acc,ec,1,42,0.0
acc,ec,1,21,0.0
acc,ec,1,29,0.0
acc,ec,1,50,0.0
acc,ec,1,39,0.0
acc,ec,1,41,0.0
acc,ec,1,28,0.0
acc,ec,1,44,0.0
acc,ec,1,27,0.0
acc,ec,1,overall,0.0018034265103697023
