metric,type,top,ec,value
acc,forward,5,29,1.0
acc,forward,5,4,0.9130434782608695
acc,forward,5,0,0.8800738007380073
acc,forward,5,2,0.8297872340425532
acc,forward,5,12,1.0
acc,forward,5,14,0.7272727272727273
acc,forward,5,44,0.6666666666666666
acc,forward,5,42,1.0
acc,forward,5,15,1.0
acc,forward,5,11,1.0
acc,forward,5,49,1.0
acc,forward,5,1,0.7704918032786885
acc,forward,5,36,0.8333333333333334
acc,forward,5,30,0.6666666666666666
acc,forward,5,32,0.7777777777777778
acc,forward,5,18,0.8333333333333334
acc,forward,5,3,0.9423076923076923
acc,forward,5,10,1.0
acc,forward,5,45,0.75
acc,forward,5,21,0.8888888888888888
acc,forward,5,8,0.9375
acc,forward,5,38,0.8333333333333334
acc,forward,5,33,0.875
acc,forward,5,24,0.7777777777777778
acc,forward,5,35,0.6
acc,forward,5,22,0.8666666666666667
acc,forward,5,7,0.7857142857142857
acc,forward,5,40,1.0
acc,forward,5,37,0.8571428571428571
acc,forward,5,9,0.7777777777777778
acc,forward,5,6,1.0
acc,forward,5,39,1.0
acc,forward,5,28,1.0
acc,forward,5,27,0.7142857142857143
acc,forward,5,50,1.0
acc,forward,5,16,1.0
acc,forward,5,41,0.8
acc,forward,5,23,0.625
acc,forward,5,25,0.8181818181818182
acc,forward,5,51,1.0
acc,forward,5,5,0.8235294117647058
acc,forward,5,34,0.9090909090909091
acc,forward,5,13,0.9
acc,forward,5,48,1.0
acc,forward,5,47,1.0
acc,forward,5,17,0.7272727272727273
acc,forward,5,53,1.0
acc,forward,5,52,1.0
acc,forward,5,43,1.0
acc,forward,5,20,1.0
acc,forward,5,31,0.75
acc,forward,5,26,1.0
acc,forward,5,19,1.0
acc,forward,5,46,1.0
acc,forward,5,overall,0.8737601442741209
acc,backward,5,29,0.1111111111111111
acc,backward,5,4,0.0
acc,backward,5,0,0.0
acc,backward,5,2,0.0
acc,backward,5,12,0.0
acc,backward,5,14,0.0
acc,backward,5,44,0.0
acc,backward,5,42,0.0
acc,backward,5,15,0.0
acc,backward,5,11,0.0
acc,backward,5,49,0.0
acc,backward,5,1,0.0
acc,backward,5,36,0.0
acc,backward,5,30,0.0
acc,backward,5,32,0.0
acc,backward,5,18,0.0
acc,backward,5,3,0.0
acc,backward,5,10,0.0
acc,backward,5,45,0.0
acc,backward,5,21,0.0
acc,backward,5,8,0.0
acc,backward,5,38,0.0
acc,backward,5,33,0.0
acc,backward,5,24,0.0
acc,backward,5,35,0.0
acc,backward,5,22,0.0
acc,backward,5,7,0.0
acc,backward,5,40,0.0
acc,backward,5,37,0.0
acc,backward,5,9,0.0
acc,backward,5,6,0.0
acc,backward,5,39,0.0
acc,backward,5,28,0.0
acc,backward,5,27,0.0
acc,backward,5,50,0.0
acc,backward,5,16,0.0
acc,backward,5,41,0.0
acc,backward,5,23,0.0
acc,backward,5,25,0.0
acc,backward,5,51,0.0
acc,backward,5,5,0.0
acc,backward,5,34,0.0
acc,backward,5,13,0.0
acc,backward,5,48,0.0
acc,backward,5,47,0.0
acc,backward,5,17,0.0
acc,backward,5,53,0.0
acc,backward,5,52,0.0
acc,backward,5,43,0.0
acc,backward,5,20,0.0
acc,backward,5,31,0.0
acc,backward,5,26,0.0
acc,backward,5,19,0.0
acc,backward,5,46,0.0
acc,backward,5,overall,0.0009017132551848512
acc,ec,5,29,0.1111111111111111
acc,ec,5,4,0.0
acc,ec,5,0,0.00922509225092251
acc,ec,5,2,0.0
acc,ec,5,12,0.0
acc,ec,5,14,0.0
acc,ec,5,44,0.0
acc,ec,5,42,0.0
acc,ec,5,15,0.0
acc,ec,5,11,0.0
acc,ec,5,49,0.0
acc,ec,5,1,0.03278688524590164
acc,ec,5,36,0.0
acc,ec,5,30,0.0
acc,ec,5,32,0.0
acc,ec,5,18,0.08333333333333333
acc,ec,5,3,0.0
acc,ec,5,10,0.0
acc,ec,5,45,0.0
acc,ec,5,21,0.0
acc,ec,5,8,0.0
acc,ec,5,38,0.0
acc,ec,5,33,0.0
acc,ec,5,24,0.0
acc,ec,5,35,0.0
acc,ec,5,22,0.0
acc,ec,5,7,0.0
acc,ec,5,40,0.0
acc,ec,5,37,0.0
acc,ec,5,9,0.0
acc,ec,5,6,0.0
acc,ec,5,39,0.0
acc,ec,5,28,0.0
acc,ec,5,27,0.0
acc,ec,5,50,0.0
acc,ec,5,16,0.0
acc,ec,5,41,0.0
acc,ec,5,23,0.0
acc,ec,5,25,0.0
acc,ec,5,51,0.0
acc,ec,5,5,0.0
acc,ec,5,34,0.0
acc,ec,5,13,0.0
acc,ec,5,48,0.0
acc,ec,5,47,0.0
acc,ec,5,17,0.0
acc,ec,5,53,0.0
acc,ec,5,52,0.0
acc,ec,5,43,0.0
acc,ec,5,20,0.0
acc,ec,5,31,0.0
acc,ec,5,26,0.0
acc,ec,5,19,0.0
acc,ec,5,46,0.0
acc,ec,5,overall,0.008115419296663661
