metric,type,top,ec,value
acc,forward,3,8,0.875
acc,forward,3,0,0.8324225865209471
acc,forward,3,45,0.8333333333333334
acc,forward,3,3,0.8809523809523809
acc,forward,3,27,0.875
acc,forward,3,6,0.9130434782608695
acc,forward,3,14,0.5333333333333333
acc,forward,3,21,0.9090909090909091
acc,forward,3,1,0.873015873015873
acc,forward,3,2,0.8421052631578947
acc,forward,3,9,0.782608695652174
acc,forward,3,37,0.8333333333333334
acc,forward,3,35,0.42857142857142855
acc,forward,3,30,0.875
acc,forward,3,52,0.8333333333333334
acc,forward,3,34,0.6666666666666666
acc,forward,3,23,1.0
acc,forward,3,12,0.8571428571428571
acc,forward,3,39,0.6666666666666666
acc,forward,3,13,0.5555555555555556
acc,forward,3,53,1.0
acc,forward,3,20,0.8
acc,forward,3,15,1.0
acc,forward,3,10,0.7058823529411765
acc,forward,3,31,0.875
acc,forward,3,19,0.6
acc,forward,3,4,0.9629629629629629
acc,forward,3,26,0.8
acc,forward,3,46,0.25
acc,forward,3,7,0.631578947368421
acc,forward,3,25,1.0
acc,forward,3,28,0.8181818181818182
acc,forward,3,16,1.0
acc,forward,3,24,0.9090909090909091
acc,forward,3,29,0.75
acc,forward,3,51,1.0
acc,forward,3,22,1.0
acc,forward,3,5,0.7692307692307693
acc,forward,3,11,1.0
acc,forward,3,17,1.0
acc,forward,3,33,1.0
acc,forward,3,50,1.0
acc,forward,3,18,0.6666666666666666
acc,forward,3,42,0.6
acc,forward,3,43,1.0
acc,forward,3,36,1.0
acc,forward,3,38,0.8
acc,forward,3,47,1.0
acc,forward,3,32,0.75
acc,forward,3,44,0.5
acc,forward,3,41,0.8333333333333334
acc,forward,3,49,1.0
acc,forward,3,48,0.6666666666666666
acc,forward,3,40,1.0
acc,forward,3,overall,0.8306306306306306
acc,backward,3,8,0.0
acc,backward,3,0,0.0
acc,backward,3,45,0.0
acc,backward,3,3,0.023809523809523808
acc,backward,3,27,0.0
acc,backward,3,6,0.0
acc,backward,3,14,0.0
acc,backward,3,21,0.0
acc,backward,3,1,0.0
acc,backward,3,2,0.0
acc,backward,3,9,0.0
acc,backward,3,37,0.0
acc,backward,3,35,0.0
acc,backward,3,30,0.0
acc,backward,3,52,0.0
acc,backward,3,34,0.0
acc,backward,3,23,0.0
acc,backward,3,12,0.0
acc,backward,3,39,0.0
acc,backward,3,13,0.0
acc,backward,3,53,0.0
acc,backward,3,20,0.0
acc,backward,3,15,0.0
acc,backward,3,10,0.0
acc,backward,3,31,0.0
acc,backward,3,19,0.0
acc,backward,3,4,0.0
acc,backward,3,26,0.0
acc,backward,3,46,0.0
acc,backward,3,7,0.0
acc,backward,3,25,0.0
acc,backward,3,28,0.0
acc,backward,3,16,0.0
acc,backward,3,24,0.0
acc,backward,3,29,0.0
acc,backward,3,51,0.0
acc,backward,3,22,0.0
acc,backward,3,5,0.0
acc,backward,3,11,0.0
acc,backward,3,17,0.0
acc,backward,3,33,0.0
acc,backward,3,50,0.0
acc,backward,3,18,0.0
acc,backward,3,42,0.0
acc,backward,3,43,0.0
acc,backward,3,36,0.0
acc,backward,3,38,0.0
acc,backward,3,47,0.0
acc,backward,3,32,0.0
acc,backward,3,44,0.0
acc,backward,3,41,0.0
acc,backward,3,49,0.0
acc,backward,3,48,0.0
acc,backward,3,40,0.0
acc,backward,3,overall,0.0009009009009009009
acc,ec,3,8,0.0
acc,ec,3,0,0.08014571948998178
acc,ec,3,45,0.0
acc,ec,3,3,0.047619047619047616
acc,ec,3,27,0.0
acc,ec,3,6,0.0
acc,ec,3,14,0.0
acc,ec,3,21,0.0
acc,ec,3,1,0.031746031746031744
acc,ec,3,2,0.0
acc,ec,3,9,0.0
acc,ec,3,37,0.0
acc,ec,3,35,0.0
acc,ec,3,30,0.0
acc,ec,3,52,0.0
acc,ec,3,34,0.0
acc,ec,3,23,0.0
acc,ec,3,12,0.0
acc,ec,3,39,0.0
acc,ec,3,13,0.0
acc,ec,3,53,0.0
acc,ec,3,20,0.0
acc,ec,3,15,0.0
acc,ec,3,10,0.0
acc,ec,3,31,0.0
acc,ec,3,19,0.0
acc,ec,3,4,0.0
acc,ec,3,26,0.0
acc,ec,3,46,0.0
acc,ec,3,7,0.0
acc,ec,3,25,0.0
acc,ec,3,28,0.0
acc,ec,3,16,0.0
acc,ec,3,24,0.0
acc,ec,3,29,0.0
acc,ec,3,51,0.0
acc,ec,3,22,0.0
acc,ec,3,5,0.0
acc,ec,3,11,0.0
acc,ec,3,17,0.0
acc,ec,3,33,0.0
acc,ec,3,50,0.0
acc,ec,3,18,0.0
acc,ec,3,42,0.0
acc,ec,3,43,0.0
acc,ec,3,36,0.0
acc,ec,3,38,0.0
acc,ec,3,47,0.0
acc,ec,3,32,0.0
acc,ec,3,44,0.0
acc,ec,3,41,0.0
acc,ec,3,49,0.0
acc,ec,3,48,0.0
acc,ec,3,40,0.0
acc,ec,3,overall,0.043243243243243246
