metric,type,top,ec,value
acc,forward,3,13,0.6875
acc,forward,3,19,1.0
acc,forward,3,30,0.7142857142857143
acc,forward,3,29,0.8333333333333334
acc,forward,3,15,0.8461538461538461
acc,forward,3,31,1.0
acc,forward,3,24,1.0
acc,forward,3,0,0.8705035971223022
acc,forward,3,1,0.9104477611940298
acc,forward,3,3,1.0
acc,forward,3,33,0.8333333333333334
acc,forward,3,32,0.8888888888888888
acc,forward,3,37,1.0
acc,forward,3,10,0.75
acc,forward,3,50,1.0
acc,forward,3,46,0.6666666666666666
acc,forward,3,34,1.0
acc,forward,3,20,0.7142857142857143
acc,forward,3,35,0.3333333333333333
acc,forward,3,9,0.7
acc,forward,3,22,1.0
acc,forward,3,6,0.95
acc,forward,3,27,0.8888888888888888
acc,forward,3,16,0.875
acc,forward,3,4,0.9642857142857143
acc,forward,3,7,0.96
acc,forward,3,2,0.9347826086956522
acc,forward,3,36,0.6666666666666666
acc,forward,3,45,1.0
acc,forward,3,11,1.0
acc,forward,3,41,0.8571428571428571
acc,forward,3,8,1.0
acc,forward,3,28,0.8
acc,forward,3,25,0.8888888888888888
acc,forward,3,21,0.9
acc,forward,3,18,0.8571428571428571
acc,forward,3,23,1.0
acc,forward,3,5,1.0
acc,forward,3,39,1.0
acc,forward,3,12,1.0
acc,forward,3,51,1.0
acc,forward,3,44,0.5
acc,forward,3,17,1.0
acc,forward,3,40,1.0
acc,forward,3,14,0.8333333333333334
acc,forward,3,48,1.0
acc,forward,3,43,0.8
acc,forward,3,42,1.0
acc,forward,3,26,0.6
acc,forward,3,47,1.0
acc,forward,3,38,0.6666666666666666
acc,forward,3,49,1.0
acc,forward,3,52,1.0
acc,forward,3,overall,0.8809738503155996
acc,backward,3,13,0.0625
acc,backward,3,19,0.0
acc,backward,3,30,0.0
acc,backward,3,29,0.0
acc,backward,3,15,0.0
acc,backward,3,31,0.0
acc,backward,3,24,0.0
acc,backward,3,0,0.0
acc,backward,3,1,0.0
acc,backward,3,3,0.0
acc,backward,3,33,0.0
acc,backward,3,32,0.0
acc,backward,3,37,0.0
acc,backward,3,10,0.0
acc,backward,3,50,0.0
acc,backward,3,46,0.0
acc,backward,3,34,0.0
acc,backward,3,20,0.0
acc,backward,3,35,0.0
acc,backward,3,9,0.0
acc,backward,3,22,0.0
acc,backward,3,6,0.0
acc,backward,3,27,0.0
acc,backward,3,16,0.0
acc,backward,3,4,0.0
acc,backward,3,7,0.0
acc,backward,3,2,0.0
acc,backward,3,36,0.0
acc,backward,3,45,0.0
acc,backward,3,11,0.0
acc,backward,3,41,0.0
acc,backward,3,8,0.0
acc,backward,3,28,0.0
acc,backward,3,25,0.0
acc,backward,3,21,0.0
acc,backward,3,18,0.0
acc,backward,3,23,0.0
acc,backward,3,5,0.0
acc,backward,3,39,0.0
acc,backward,3,12,0.0
acc,backward,3,51,0.0
acc,backward,3,44,0.0
acc,backward,3,17,0.0
acc,backward,3,40,0.0
acc,backward,3,14,0.0
acc,backward,3,48,0.0
acc,backward,3,43,0.0
acc,backward,3,42,0.0
acc,backward,3,26,0.0
acc,backward,3,47,0.0
acc,backward,3,38,0.0
acc,backward,3,49,0.0
acc,backward,3,52,0.0
acc,backward,3,overall,0.0009017132551848512
acc,ec,3,13,0.0625
acc,ec,3,19,0.0
acc,ec,3,30,0.0
acc,ec,3,29,0.0
acc,ec,3,15,0.0
acc,ec,3,31,0.0
acc,ec,3,24,0.0
acc,ec,3,0,0.007194244604316547
acc,ec,3,1,0.0
acc,ec,3,3,0.0
acc,ec,3,33,0.0
acc,ec,3,32,0.0
acc,ec,3,37,0.0
acc,ec,3,10,0.0
acc,ec,3,50,0.0
acc,ec,3,46,0.0
acc,ec,3,34,0.0
acc,ec,3,20,0.0
acc,ec,3,35,0.0
acc,ec,3,9,0.0
acc,ec,3,22,0.0
acc,ec,3,6,0.0
acc,ec,3,27,0.0
acc,ec,3,16,0.0
acc,ec,3,4,0.0
acc,ec,3,7,0.0
acc,ec,3,2,0.0
acc,ec,3,36,0.0
acc,ec,3,45,0.0
acc,ec,3,11,0.0
acc,ec,3,41,0.0
acc,ec,3,8,0.0
acc,ec,3,28,0.0
acc,ec,3,25,0.0
acc,ec,3,21,0.0
acc,ec,3,18,0.0
acc,ec,3,23,0.0
acc,ec,3,5,0.0
acc,ec,3,39,0.0
acc,ec,3,12,0.0
acc,ec,3,51,0.0
acc,ec,3,44,0.0
acc,ec,3,17,0.0
acc,ec,3,40,0.0
acc,ec,3,14,0.0
acc,ec,3,48,0.0
acc,ec,3,43,0.0
acc,ec,3,42,0.0
acc,ec,3,26,0.0
acc,ec,3,47,0.0
acc,ec,3,38,0.0
acc,ec,3,49,0.0
acc,ec,3,52,0.0
acc,ec,3,overall,0.004508566275924256
