metric,type,top,ec,value
acc,forward,1,8,0.75
acc,forward,1,0,0.7741347905282332
acc,forward,1,45,0.8333333333333334
acc,forward,1,3,0.8571428571428571
acc,forward,1,27,0.875
acc,forward,1,6,0.9565217391304348
acc,forward,1,14,0.6666666666666666
acc,forward,1,21,0.9090909090909091
acc,forward,1,1,0.873015873015873
acc,forward,1,2,0.8421052631578947
acc,forward,1,9,0.8260869565217391
acc,forward,1,37,1.0
acc,forward,1,35,0.42857142857142855
acc,forward,1,30,0.75
acc,forward,1,52,0.8333333333333334
acc,forward,1,34,0.6666666666666666
acc,forward,1,23,1.0
acc,forward,1,12,0.7142857142857143
acc,forward,1,39,0.6666666666666666
acc,forward,1,13,0.5555555555555556
acc,forward,1,53,1.0
acc,forward,1,20,0.8
acc,forward,1,15,1.0
acc,forward,1,10,0.8235294117647058
acc,forward,1,31,0.875
acc,forward,1,19,0.4
acc,forward,1,4,0.8888888888888888
acc,forward,1,26,0.8
acc,forward,1,46,0.5
acc,forward,1,7,0.631578947368421
acc,forward,1,25,1.0
acc,forward,1,28,0.7272727272727273
acc,forward,1,16,1.0
acc,forward,1,24,0.9090909090909091
acc,forward,1,29,0.75
acc,forward,1,51,1.0
acc,forward,1,22,1.0
acc,forward,1,5,0.8461538461538461
acc,forward,1,11,0.8333333333333334
acc,forward,1,17,1.0
acc,forward,1,33,1.0
acc,forward,1,50,1.0
acc,forward,1,18,0.6666666666666666
acc,forward,1,42,0.6
acc,forward,1,43,1.0
acc,forward,1,36,1.0
acc,forward,1,38,0.7
acc,forward,1,47,1.0
acc,forward,1,32,0.75
acc,forward,1,44,0.5
acc,forward,1,41,0.8333333333333334
acc,forward,1,49,1.0
acc,forward,1,48,1.0
acc,forward,1,40,1.0
acc,forward,1,overall,0.7990990990990992
acc,backward,1,8,0.0625
acc,backward,1,0,0.0
acc,backward,1,45,0.0
acc,backward,1,3,0.0
acc,backward,1,27,0.0
acc,backward,1,6,0.0
acc,backward,1,14,0.0
acc,backward,1,21,0.0
acc,backward,1,1,0.0
acc,backward,1,2,0.0
acc,backward,1,9,0.0
acc,backward,1,37,0.0
acc,backward,1,35,0.0
acc,backward,1,30,0.0
acc,backward,1,52,0.0
acc,backward,1,34,0.0
acc,backward,1,23,0.0
acc,backward,1,12,0.0
acc,backward,1,39,0.0
acc,backward,1,13,0.0
acc,backward,1,53,0.0
acc,backward,1,20,0.0
acc,backward,1,15,0.0
acc,backward,1,10,0.0
acc,backward,1,31,0.0
acc,backward,1,19,0.0
acc,backward,1,4,0.0
acc,backward,1,26,0.0
acc,backward,1,46,0.0
acc,backward,1,7,0.0
acc,backward,1,25,0.0
acc,backward,1,28,0.0
acc,backward,1,16,0.0
acc,backward,1,24,0.0
acc,backward,1,29,0.0
acc,backward,1,51,0.0
acc,backward,1,22,0.0
acc,backward,1,5,0.0
acc,backward,1,11,0.0
acc,backward,1,17,0.0
acc,backward,1,33,0.0
acc,backward,1,50,0.0
acc,backward,1,18,0.0
acc,backward,1,42,0.0
acc,backward,1,43,0.0
acc,backward,1,36,0.0
acc,backward,1,38,0.0
acc,backward,1,47,0.0
acc,backward,1,32,0.0
acc,backward,1,44,0.0
acc,backward,1,41,0.0
acc,backward,1,49,0.0
acc,backward,1,48,0.0
acc,backward,1,40,0.0
acc,backward,1,overall,0.0009009009009009009
acc,ec,1,8,0.0625
acc,ec,1,0,0.056466302367941715
acc,ec,1,45,0.0
acc,ec,1,3,0.023809523809523808
acc,ec,1,27,0.0
acc,ec,1,6,0.0
acc,ec,1,14,0.0
acc,ec,1,21,0.0
acc,ec,1,1,0.015873015873015872
acc,ec,1,2,0.0
acc,ec,1,9,0.0
acc,ec,1,37,0.0
acc,ec,1,35,0.0
acc,ec,1,30,0.0
acc,ec,1,52,0.0
acc,ec,1,34,0.0
acc,ec,1,23,0.0
acc,ec,1,12,0.0
acc,ec,1,39,0.0
acc,ec,1,13,0.0
acc,ec,1,53,0.0
acc,ec,1,20,0.0
acc,ec,1,15,0.0
acc,ec,1,10,0.0
acc,ec,1,31,0.0
acc,ec,1,19,0.0
acc,ec,1,4,0.0
acc,ec,1,26,0.0
acc,ec,1,46,0.0
acc,ec,1,7,0.0
acc,ec,1,25,0.0
acc,ec,1,28,0.0
acc,ec,1,16,0.0
acc,ec,1,24,0.0
acc,ec,1,29,0.0
acc,ec,1,51,0.0
acc,ec,1,22,0.0
acc,ec,1,5,0.0
acc,ec,1,11,0.0
acc,ec,1,17,0.0
acc,ec,1,33,0.0
acc,ec,1,50,0.0
acc,ec,1,18,0.0
acc,ec,1,42,0.0
acc,ec,1,43,0.0
acc,ec,1,36,0.0
acc,ec,1,38,0.0
acc,ec,1,47,0.0
acc,ec,1,32,0.0
acc,ec,1,44,0.0
acc,ec,1,41,0.0
acc,ec,1,49,0.0
acc,ec,1,48,0.0
acc,ec,1,40,0.0
acc,ec,1,overall,0.03063063063063063
