metric,type,top,ec,value
acc,forward,2,0,0.5295202952029521
acc,forward,2,3,0.6595744680851063
acc,forward,2,4,0.44
acc,forward,2,12,0.6428571428571429
acc,forward,2,2,0.5510204081632653
acc,forward,2,52,1.0
acc,forward,2,23,0.7
acc,forward,2,51,1.0
acc,forward,2,20,0.5
acc,forward,2,16,0.9090909090909091
acc,forward,2,1,0.6724137931034483
acc,forward,2,33,0.7777777777777778
acc,forward,2,48,0.0
acc,forward,2,11,0.2222222222222222
acc,forward,2,18,0.6
acc,forward,2,9,1.0
acc,forward,2,13,0.3333333333333333
acc,forward,2,32,0.875
acc,forward,2,17,0.7272727272727273
acc,forward,2,30,0.8571428571428571
acc,forward,2,25,0.375
acc,forward,2,34,0.2857142857142857
acc,forward,2,7,0.4444444444444444
acc,forward,2,6,0.5555555555555556
acc,forward,2,37,0.16666666666666666
acc,forward,2,35,0.125
acc,forward,2,36,0.3333333333333333
acc,forward,2,45,0.8
acc,forward,2,24,0.8333333333333334
acc,forward,2,22,0.5
acc,forward,2,38,0.5
acc,forward,2,47,1.0
acc,forward,2,5,0.5714285714285714
acc,forward,2,8,0.44
acc,forward,2,15,0.5833333333333334
acc,forward,2,46,0.25
acc,forward,2,14,0.09090909090909091
acc,forward,2,26,0.3333333333333333
acc,forward,2,19,0.8333333333333334
acc,forward,2,31,1.0
acc,forward,2,10,0.7368421052631579
acc,forward,2,53,0.8
acc,forward,2,49,0.5
acc,forward,2,40,1.0
acc,forward,2,43,1.0
acc,forward,2,42,0.6666666666666666
acc,forward,2,21,0.8571428571428571
acc,forward,2,29,0.6
acc,forward,2,50,1.0
acc,forward,2,39,0.4
acc,forward,2,41,0.0
acc,forward,2,28,0.8
acc,forward,2,44,0.0
acc,forward,2,27,0.8571428571428571
acc,forward,2,overall,0.563570784490532
acc,backward,2,0,0.0018450184501845018
acc,backward,2,3,0.0
acc,backward,2,4,0.0
acc,backward,2,12,0.0
acc,backward,2,2,0.0
acc,backward,2,52,0.0
acc,backward,2,23,0.0
acc,backward,2,51,0.0
acc,backward,2,20,0.0
acc,backward,2,16,0.0
acc,backward,2,1,0.0
acc,backward,2,33,0.0
acc,backward,2,48,0.0
acc,backward,2,11,0.0
acc,backward,2,18,0.0
acc,backward,2,9,0.0
acc,backward,2,13,0.0
acc,backward,2,32,0.0
acc,backward,2,17,0.0
acc,backward,2,30,0.0
acc,backward,2,25,0.0
acc,backward,2,34,0.0
acc,backward,2,7,0.0
acc,backward,2,6,0.0
acc,backward,2,37,0.0
acc,backward,2,35,0.0
acc,backward,2,36,0.0
acc,backward,2,45,0.0
acc,backward,2,24,0.0
acc,backward,2,22,0.0
acc,backward,2,38,0.0
acc,backward,2,47,0.0
acc,backward,2,5,0.0
acc,backward,2,8,0.0
acc,backward,2,15,0.0
acc,backward,2,46,0.0
acc,backward,2,14,0.0
acc,backward,2,26,0.0
acc,backward,2,19,0.0
acc,backward,2,31,0.0
acc,backward,2,10,0.0
acc,backward,2,53,0.0
acc,backward,2,49,0.0
acc,backward,2,40,0.0
acc,backward,2,43,0.0
acc,backward,2,42,0.0
acc,backward,2,21,0.0
acc,backward,2,29,0.0
acc,backward,2,50,0.0
acc,backward,2,39,0.0
acc,backward,2,41,0.0
acc,backward,2,28,0.0
acc,backward,2,44,0.0
acc,backward,2,27,0.0
acc,backward,2,overall,0.0009017132551848512
acc,ec,2,0,0.09225092250922509
acc,ec,2,3,0.0
acc,ec,2,4,0.0
acc,ec,2,12,0.0
acc,ec,2,2,0.0
acc,ec,2,52,0.0
acc,ec,2,23,0.0
acc,ec,2,51,0.0
acc,ec,2,20,0.0
acc,ec,2,16,0.0
acc,ec,2,1,0.0
acc,ec,2,33,0.0
acc,ec,2,48,0.0
acc,ec,2,11,0.0
acc,ec,2,18,0.0
acc,ec,2,9,0.0
acc,ec,2,13,0.0
acc,ec,2,32,0.0
acc,ec,2,17,0.0
acc,ec,2,30,0.0
acc,ec,2,25,0.0
acc,ec,2,34,0.0
acc,ec,2,7,0.0
acc,ec,2,6,0.0
acc,ec,2,37,0.0
acc,ec,2,35,0.0
acc,ec,2,36,0.0
acc,ec,2,45,0.0
acc,ec,2,24,0.0
acc,ec,2,22,0.0
acc,ec,2,38,0.0
acc,ec,2,47,0.0
acc,ec,2,5,0.0
acc,ec,2,8,0.0
acc,ec,2,15,0.0
acc,ec,2,46,0.0
acc,ec,2,14,0.0
acc,ec,2,26,0.0
acc,ec,2,19,0.0
acc,ec,2,31,0.0
acc,ec,2,10,0.0
acc,ec,2,53,0.0
acc,ec,2,49,0.0
acc,ec,2,40,0.0
acc,ec,2,43,0.0
acc,ec,2,42,0.0
acc,ec,2,21,0.0
acc,ec,2,29,0.0
acc,ec,2,50,0.0
acc,ec,2,39,0.0
acc,ec,2,41,0.0
acc,ec,2,28,0.0
acc,ec,2,44,0.0
acc,ec,2,27,0.0
acc,ec,2,overall,0.04508566275924256
