metric,type,top,ec,value
acc,forward,3,47,1.0
acc,forward,3,0,0.8426763110307414
acc,forward,3,31,0.8888888888888888
acc,forward,3,3,0.9411764705882353
acc,forward,3,6,1.0
acc,forward,3,1,0.8133333333333334
acc,forward,3,27,0.875
acc,forward,3,2,0.8918918918918919
acc,forward,3,9,0.875
acc,forward,3,17,1.0
acc,forward,3,20,0.9230769230769231
acc,forward,3,39,0.8
acc,forward,3,43,0.875
acc,forward,3,23,0.6363636363636364
acc,forward,3,8,0.85
acc,forward,3,45,1.0
acc,forward,3,21,1.0
acc,forward,3,4,0.8421052631578947
acc,forward,3,52,1.0
acc,forward,3,51,1.0
acc,forward,3,46,0.8
acc,forward,3,5,0.8571428571428571
acc,forward,3,36,0.9090909090909091
acc,forward,3,33,0.8571428571428571
acc,forward,3,16,1.0
acc,forward,3,26,1.0
acc,forward,3,35,0.3333333333333333
acc,forward,3,13,0.6
acc,forward,3,7,1.0
acc,forward,3,41,0.75
acc,forward,3,38,1.0
acc,forward,3,11,0.9166666666666666
acc,forward,3,24,0.875
acc,forward,3,12,0.8
acc,forward,3,53,1.0
acc,forward,3,14,0.625
acc,forward,3,44,0.6666666666666666
acc,forward,3,40,0.75
acc,forward,3,42,0.75
acc,forward,3,22,0.8333333333333334
acc,forward,3,15,1.0
acc,forward,3,30,0.8571428571428571
acc,forward,3,25,0.6
acc,forward,3,29,1.0
acc,forward,3,37,0.8
acc,forward,3,28,0.6666666666666666
acc,forward,3,18,1.0
acc,forward,3,10,0.8666666666666667
acc,forward,3,32,1.0
acc,forward,3,34,1.0
acc,forward,3,19,1.0
acc,forward,3,48,0.0
acc,forward,3,overall,0.8539224526600541
acc,backward,3,47,0.14285714285714285
acc,backward,3,0,0.0
acc,backward,3,31,0.0
acc,backward,3,3,0.0
acc,backward,3,6,0.0
acc,backward,3,1,0.0
acc,backward,3,27,0.0
acc,backward,3,2,0.0
acc,backward,3,9,0.0
acc,backward,3,17,0.0
acc,backward,3,20,0.0
acc,backward,3,39,0.0
acc,backward,3,43,0.0
acc,backward,3,23,0.0
acc,backward,3,8,0.0
acc,backward,3,45,0.0
acc,backward,3,21,0.0
acc,backward,3,4,0.0
acc,backward,3,52,0.0
acc,backward,3,51,0.0
acc,backward,3,46,0.0
acc,backward,3,5,0.0
acc,backward,3,36,0.0
acc,backward,3,33,0.0
acc,backward,3,16,0.0
acc,backward,3,26,0.0
acc,backward,3,35,0.0
acc,backward,3,13,0.0
acc,backward,3,7,0.0
acc,backward,3,41,0.0
acc,backward,3,38,0.0
acc,backward,3,11,0.0
acc,backward,3,24,0.0
acc,backward,3,12,0.0
acc,backward,3,53,0.0
acc,backward,3,14,0.0
acc,backward,3,44,0.0
acc,backward,3,40,0.0
acc,backward,3,42,0.0
acc,backward,3,22,0.0
acc,backward,3,15,0.0
acc,backward,3,30,0.0
acc,backward,3,25,0.0
acc,backward,3,29,0.0
acc,backward,3,37,0.0
acc,backward,3,28,0.0
acc,backward,3,18,0.0
acc,backward,3,10,0.0
acc,backward,3,32,0.0
acc,backward,3,34,0.0
acc,backward,3,19,0.0
acc,backward,3,48,0.0
acc,backward,3,overall,0.0009017132551848512
acc,ec,3,47,0.14285714285714285
acc,ec,3,0,0.009041591320072333
acc,ec,3,31,0.0
acc,ec,3,3,0.0
acc,ec,3,6,0.0
acc,ec,3,1,0.0
acc,ec,3,27,0.0
acc,ec,3,2,0.0
acc,ec,3,9,0.0
acc,ec,3,17,0.08333333333333333
acc,ec,3,20,0.0
acc,ec,3,39,0.0
acc,ec,3,43,0.0
acc,ec,3,23,0.0
acc,ec,3,8,0.0
acc,ec,3,45,0.0
acc,ec,3,21,0.0
acc,ec,3,4,0.0
acc,ec,3,52,0.0
acc,ec,3,51,0.0
acc,ec,3,46,0.0
acc,ec,3,5,0.0
acc,ec,3,36,0.0
acc,ec,3,33,0.0
acc,ec,3,16,0.0
acc,ec,3,26,0.0
acc,ec,3,35,0.0
acc,ec,3,13,0.0
acc,ec,3,7,0.0
acc,ec,3,41,0.0
acc,ec,3,38,0.0
acc,ec,3,11,0.0
acc,ec,3,24,0.0
acc,ec,3,12,0.0
acc,ec,3,53,0.0
acc,ec,3,14,0.0
acc,ec,3,44,0.0
acc,ec,3,40,0.0
acc,ec,3,42,0.0
acc,ec,3,22,0.0
acc,ec,3,15,0.0
acc,ec,3,30,0.0
acc,ec,3,25,0.0
acc,ec,3,29,0.0
acc,ec,3,37,0.0
acc,ec,3,28,0.0
acc,ec,3,18,0.0
acc,ec,3,10,0.0
acc,ec,3,32,0.0
acc,ec,3,34,0.0
acc,ec,3,19,0.0
acc,ec,3,48,0.0
acc,ec,3,overall,0.0063119927862939585
